example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot,methods_available,query_source,top1_variants,variants_available
1202365,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,282,662,282,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANT.328.20/Brn425.35r.4.txt,,CANT.328.20,CANT.328.20,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202366,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,451,662,451,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CCHA.451.16/Brn425.21r.1.txt,,CCHA.451.16,CCHA.451.16,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202367,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1382,662,1382,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.17/KoeD213.6r.3.txt,,Can.apost.17,Can.apost.17,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202368,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1641,662,1641,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.1.txt,"/projects/beto/irowerojas/localLatin/data/canon_labelled/Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233A) Source (igitur ... alio uiro) Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233B)/CamCC279.20.1.txt",,"Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233A) Source (igitur ... alio uiro) Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233B)","Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233A) Source (igitur ... alio uiro) Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233B)",pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202369,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1290,663,1290,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.656.6/BAV1341.96v.2.txt,,CTOL.656.6,CTOL.656.6,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,"abtt,sif_abtt","abtt,sif_abtt"
1202370,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,1290,663,1290,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.656.6/BAV1341.96v.2.txt,,CTOL.656.6,CTOL.656.6,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202371,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,1290,663,1290,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.656.6/BAV1341.96v.2.txt,,CTOL.656.6,CTOL.656.6,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202372,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,53,664,53,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.45/Brn425.42v.1.txt,,CAGD.506.45,CAGD.506.45,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202373,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,684,664,684,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CMAC.581.18/BN2123.95r.6.txt,,CMAC.581.18,CMAC.581.18,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,"abtt,sif_abtt","abtt,sif_abtt"
1202374,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,702,664,702,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNEO.315.1/Brn425.20r.3.txt,,CNEO.315.1,CNEO.315.1,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202375,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,65,665,65,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.56/Brn425.42v.4.txt,,CAGD.506.56,CAGD.506.56,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202376,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1199,665,1199,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.633.53/WlfH1062.11v.1.txt,,CTOL.633.53,CTOL.633.53,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202377,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,1229,665,1229,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.636.3/BAV1341.79v.1.txt,,CTOL.636.3,CTOL.636.3,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202378,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1280,665,1280,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.655.6/WlfH1062.13v.1.txt,,CTOL.655.6,CTOL.655.6,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202379,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,123,666,123,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANC.314.17/C1525.20v.4.txt,,CANC.314.17,CANC.314.17,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202380,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,639,666,639,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CLAO.300.1/D1723.528.2.txt,,CLAO.300.1,CLAO.300.1,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202381,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,836,666,836,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.16/D1723.556.6.txt,,CNIC.325.16,CNIC.325.16,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202382,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1644,666,1644,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.3.txt,"/projects/beto/irowerojas/localLatin/data/canon_labelled/Jerome, Comm.in IV ep.Paul., ad Tit. vers. 3:1–2 (PL 26, col. 590D)/CamCC279.86.1.txt",,"Jerome, Comm.in IV ep.Paul., ad Tit. vers. 3:1–2 (PL 26, col. 590D)","Jerome, Comm.in IV ep.Paul., ad Tit. vers. 3:1–2 (PL 26, col. 590D)",pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202383,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,254,667,254,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANT.328.15/Brn425.35r.3.txt,,CANT.328.15,CANT.328.15,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202384,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,479,667,479,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CCHA.451.7/Brn425.20v.3.txt,,CCHA.451.7,CCHA.451.7,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202385,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,611,667,611,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.156v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CHIP.393.2/BN1454.53v.2.txt,,CHIP.393.2,CHIP.393.2,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,"abtt,sif_abtt","abtt,sif_abtt"
1202386,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,646,668,646,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CLAO.300.13/D1723.557.6.txt,,CLAO.300.13,CLAO.300.13,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202387,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,984,668,984,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORL.511.23/BAV1341.55r.10.txt,,CORL.511.23,CORL.511.23,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202388,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1022,668,1022,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORL.538.36/BN2123.103v.5.txt,,CORL.538.36,CORL.538.36,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202389,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1288,668,1288,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.656.4/BAV1341.96r.3.txt,,CTOL.656.4,CTOL.656.4,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202390,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,427,669,427,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAUX.561.35/Kob58.41r.2.txt,,CAUX.561.35,CAUX.561.35,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202391,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,479,669,479,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CCHA.451.7/Brn425.20v.3.txt,,CCHA.451.7,CCHA.451.7,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202392,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,1265,669,1265,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.655.10/WlfH1062.14r.1.txt,,CTOL.655.10,CTOL.655.10,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202393,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1642,669,1642,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.2.txt,"/projects/beto/irowerojas/localLatin/data/canon_labelled/Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233C)/CamCC279.17.3.txt",,"Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233C)","Jerome, Advers.Iovin.libri II, 1.14 (PL 23, col. 233C)",pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202394,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,53,670,53,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.45/Brn425.42v.1.txt,,CAGD.506.45,CAGD.506.45,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202395,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,370,670,370,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CARL.501?.12/BAV1341.46r.12.txt,,CARL.501?.12,CARL.501?.12,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,"abtt,sif_abtt","abtt,sif_abtt"
1202396,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,640,670,640,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CLAO.300.10/Brn425.19v.2.txt,,CLAO.300.10,CLAO.300.10,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202397,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,53,671,53,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.45/Brn425.42v.1.txt,,CAGD.506.45,CAGD.506.45,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202398,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,866,671,866,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.20/D1723.544.4.txt,,CNIC.325.20,CNIC.325.20,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202399,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1033,671,1033,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CPAR.614.10/Kob58.34v.1.txt,,CPAR.614.10,CPAR.614.10,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202400,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1471,671,1471,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.33/C1525.6v.1.txt,,Can.apost.33,Can.apost.33,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202401,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,27,672,27,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.25/Brn425.24v.1.txt,,CAGD.506.25,CAGD.506.25,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202402,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,370,672,370,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CARL.501?.12/BAV1341.46r.12.txt,,CARL.501?.12,CARL.501?.12,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202403,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,1315,672,1315,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CVAI.442.7/Brn425.31v.3.txt,,CVAI.442.7,CVAI.442.7,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202404,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1688,672,1688,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157r.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/RPWO.758.4/BAVPal582.5r.5.txt,,RPWO.758.4,RPWO.758.4,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202405,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,568,673,568,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.4/Brn425.57r.6.txt,,CGAN.355.4,CGAN.355.4,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202406,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,611,673,611,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CHIP.393.2/BN1454.53v.2.txt,,CHIP.393.2,CHIP.393.2,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202407,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1318,673,1318,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CVAI.442.9/BAV1341.51r.1.txt,,CVAI.442.9,CVAI.442.9,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202408,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,1543,673,1543,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.46/BAV1341.7v.16.txt,,Can.apost.46,Can.apost.46,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202409,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,180,674,180,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANC.314.24/Brn425.21v.4.txt,,CANC.314.24,CANC.314.24,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202410,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,859,674,859,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.2/BN1454.46v.2.txt,,CNIC.325.2,CNIC.325.2,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,"abtt,sif_abtt","abtt,sif_abtt"
1202411,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,859,674,859,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.2/BN1454.46v.2.txt,,CNIC.325.2,CNIC.325.2,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202412,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,180,675,180,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANC.314.24/Brn425.21v.4.txt,,CANC.314.24,CANC.314.24,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202413,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,449,675,449,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CCHA.451.13/Brn425.55v.10.txt,,CCHA.451.13,CCHA.451.13,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202414,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1038,675,1038,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CRIZ.439.5/BAV1341.49r.2.txt,,CRIZ.439.5,CRIZ.439.5,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202415,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1189,675,1189,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.633.49/BAV1341.75v.12.txt,,CTOL.633.49,CTOL.633.49,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202416,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,13,676,13,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.4.txt,"/projects/beto/irowerojas/localLatin/data/canon_labelled/Augustine, De serm.dom.in monte, 1.20.63 (ed. Mutzenbecher, 72, lines 1569–82)/CamCC279.64.2.txt",,"Augustine, De serm.dom.in monte, 1.20.63 (ed. Mutzenbecher, 72, lines 1569–82)","Augustine, De serm.dom.in monte, 1.20.63 (ed. Mutzenbecher, 72, lines 1569–82)",pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202417,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,766,676,766,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNEO.315.5/Hat42.161r.2.txt,,CNEO.315.5,CNEO.315.5,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202418,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,1117,676,1117,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.527.5/BAVPal575.6r.4.txt,,CTOL.527.5,CTOL.527.5,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202419,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1638,676,1638,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.4.txt,"/projects/beto/irowerojas/localLatin/data/canon_labelled/Hermas, Libell.sanct.past., mandatum 4.1.4–8 (eds de Gebhardt– Harnack–Zahn, 79, lines 1–19)/CamCC279.21.3.txt",,"Hermas, Libell.sanct.past., mandatum 4.1.4–8 (eds de Gebhardt– Harnack–Zahn, 79, lines 1–19)","Hermas, Libell.sanct.past., mandatum 4.1.4–8 (eds de Gebhardt– Harnack–Zahn, 79, lines 1–19)",pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202420,google/mt5-base,mT5-base,t5,6,abtt_optimal,hidden,mean,7,,,,-1,539,677,539,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.16/C1525.25v.6.txt,,CGAN.355.16,CGAN.355.16,pair_example,0,,,1,0,unlabelled_bulk,,,,,,,ig,unlabelled,baseline,baseline
1202421,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,673,677,673,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CLAO.300.53/Brn425.21v.6.txt,,CLAO.300.53,CLAO.300.53,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
1202422,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1190,677,1190,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.633.49/WlfH1062.10v.2.txt,,CTOL.633.49,CTOL.633.49,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202423,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,1232,677,1232,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.157v.5.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CTOL.636.6/BAV1341.79v.4.txt,,CTOL.636.6,CTOL.636.6,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif_abtt,"abtt,sif_abtt"
1202424,google/mt5-base,mT5-base,t5,1,abtt_optimal,hidden,mean,10,,,,-1,56,678,56,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.158r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CAGD.506.5/D1723.552.6.txt,,CAGD.506.5,CAGD.506.5,pair_example,0,,,0,1,unlabelled_bulk,,,,,,,ig,unlabelled,abtt,"abtt,sif_abtt"
1202425,google/mt5-base,mT5-base,t5,3,abtt_optimal,hidden,mean,10,,,,-1,390,678,390,/projects/beto/irowerojas/localLatin/data/canon_unlabelled/Bod718.158r.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CARL.501?.25/Brn425.31v.4.txt,,CARL.501?.25,CARL.501?.25,pair_example,0,,,0,0,unlabelled_bulk,,,,,,,ig,unlabelled,sif,sif
