language,sentence_1,sentence_2,similarity,rouge_l,bleu_1
english,council tax Hasn't council tax been frozen for most people?,Hasn't council tax been frozen for most people?,4.8,0.888888888888889,0.8
english,wait until they become more consistent and closer together.,wait for the contractions to get stronger and closer together.,3.8,0.4210526315789474,0.4444444444444444
english,Obama is extreme and leftwing.,Obama is part of the extreme leftwing.,4.8,0.6666666666666666,0.8
english,"@Frank Apisa, What you want to call it is up to you.","@Cyracuz, What you want to call it is up to you.",2.5,0.8695652173913043,0.8333333333333334
english,So I actually read the OP and guess what I found out.,Furthermore I found this: So I actually read the OP and guess what I found out.,4.6,0.8571428571428571,1.0
english,Hi Pro and Corn: How many threads do you plan on making?,How many threads do you plan on making?,4.0,0.8,0.6666666666666666
english,Tell me exactly which system isn't working right now?,So which system isn't working for us?,4.0,0.5,0.4444444444444444
english,"Yes, it's about dilution.","Er, that's not how dilution works.",1.8,0.0,0.0
english,"Yeah, I don't think this is that controversial either.",I don't think what she's saying is that controversial.,3.8,0.5555555555555556,0.5555555555555556
english,Operation Chaos is merely people voting.,Chaos is merely people voting.,4.0,0.9090909090909091,0.8333333333333334
english,Originally Posted by JonD Doubtful.,Originally Posted by eleanor.ellis,1.2,0.6666666666666665,0.6
english,Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.,2.0,0.5263157894736842,0.5555555555555556
english,He had no intention of apprehending him.,- I didnt say he planned on apprehending him.,2.4,0.375,0.42857142857142855
english,"You're ""a bunch of cells.""","I'm ""a bunch of cells.""",2.4,0.8000000000000002,0.8
english,The onus is on the manufacturer of a product to convince consumers it is safe.,The manufacturer has to convince the government it's safe.,3.4,0.4166666666666667,0.4
english,"""In  it was a mental illness, now what are they teaching you?""","He stated that it was a mental illness in , how is that bigotry?",1.6,0.30769230769230765,0.3333333333333333
english,Landon And So This is Christmas We are all vessels filled with many wonders.,Play With Fire We are all vessels filled with many wonders.,1.8,0.64,0.5714285714285714
english,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",1.8,0.8421052631578948,0.8888888888888888
english,"What was the ""answer"" in Chicago?",What will be the response in California?,1.2,0.4615384615384615,0.5
english,"Therefore, the explanation of the existence of the universe is God.","If the universe has an explanation of its existence, that explanation is God.",3.6,0.41666666666666663,0.5454545454545454
english,Genetic predisposition to cancer resistance is superior genetics.,Genetic predisposition to Alzheimer is inferior genetics.,1.4,0.6666666666666666,0.625
english,I thought that was mostly just the Dutch.,"In fact, it's just the Dutch.",2.6,0.42857142857142855,0.375
english,Ive watched kids play.,I like watching kids play.,2.2,0.4444444444444445,0.5
english,"David @OmSigDAVID, I think Santorum's more likely than Gingrich.","@sozobe, I think Santorum's more likely than Gingrich.",4.8,0.823529411764706,0.7777777777777778
english,They're looking at each other!,Why are they looking at each other like that ?!?!,2.8,0.4,0.6
english,Are you driving one?,Are you driving a fucking Volt?,2.6,0.6,0.75
english,Religion that does that I have a problem with.,Irreligion that doesn't do that I don't have a problem with.,1.4,0.7000000000000001,0.7777777777777778
english,I think he'd be better for American business interests overall.,Would he be better for American society?,1.6,0.47058823529411764,0.4
english,not a constitutional issue.,"again, this is not a constitutional issue.",4.4,0.7272727272727273,1.0
english,YOU FOOLS..bought the  cover-up..hook..,Hi Eots: YOU FOOLS..bought the  cover-up..hook..,4.2,0.8,1.0
english,What conviction would that be?,What conviction where you talking about before?,4.4,0.3333333333333333,0.4
english,"No, none of those factors account for the recent warming.","You don't know if those factors account for the warming, or not.",3.0,0.45454545454545453,0.5
english,Stone notified Captain Lord.,He too notified Captain Lord.,3.4,0.6666666666666665,0.75
english,Are you driving one?,Are you driving a fucking Volt?,2.6,0.6,0.75
english,And that is happening in GOP controlled states.,Michigan IS a GOP controlled state.,0.8,0.42857142857142855,0.375
english,"@Frank Apisa, Frank, I observe and perceive.","@cicerone imposter, Frank, I observe and perceive.",4.2,0.7142857142857143,0.7142857142857143
english,"Government deciding what pregnancies need to be carried to term, that's fine.","Government spying on its own citizens, that's fine.",1.2,0.3,0.25
english,Put a Little Love in your Heart We are all vessels filled with many wonders.,Landon And So This is Christmas We are all vessels filled with many wonders.,2.8,0.5517241379310344,0.5333333333333333
english,God definately does not exist.,God probably does not exist.,2.6,0.8000000000000002,0.8
english,"Breathe In, Breathe Out, Move On.","buwhahahaha Breathe In, Breathe Out, Move On.",4.4,0.923076923076923,1.0
english,The great thing about living here is there's space.,The bad thing is there's space.,1.8,0.6666666666666667,0.5555555555555556
english,"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",4.5,0.8333333333333334,0.8333333333333334
english,I don't understand how freedom of speech will be prohibited.,Your freedom of speech will be no more prohibited than it is today.,3.8,0.4347826086956522,0.5
english,The question needs to be asked.,It is a question that needs to be answered.,3.2,0.5333333333333333,0.6666666666666666
english,The Infestation posts.,The mosquitoes posts.,1.8,0.6666666666666666,0.6666666666666666
english,Haiti is a shithole.,Haiti has been a shithole.,4.2,0.6666666666666665,0.75
english,I absolutely do believe there was an iceberg in those waters.,I don't believe there was any iceberg at all anywhere near the Titanic.,1.2,0.41666666666666663,0.45454545454545453
english,The Face Of The Franchise: The worst part is that he's not even a Leafs fan!,The worst part is that he's not even a Leafs fan!,4.4,0.8148148148148148,0.6875
english,I agree completely I am hoping he is into a second term of office.,I am hoping he is into a second term of office.,4.0,0.88,0.7857142857142857
english,Jake with the assist.,Voracek with the goal.,0.4,0.5,0.5
english,Is it possible his home was affected and the school was not?,"Sure, it is possible his home was affected, but not the school.",3.2,0.5,0.5833333333333334
english,The people had awakened.,Because the people had awakened.,4.2,0.888888888888889,1.0
english,Florida The ignorance is yours!,The ignorance is yours!,3.4,0.888888888888889,0.8
english,How do you know what's right and wrong?,How do you know which story is the right one?,2.2,0.5555555555555556,0.625
english,It is all Bush's fault.,Obama is Bush's fault.,1.2,0.6666666666666665,0.6
english,I missed the point where he said that black people were going to riot.,"Never, did I ever, did I say blacks were going to riot.",2.4,0.3846153846153846,0.35714285714285715
english,Originally Posted by Lone Fox You've said that multiple times now.,Originally Posted by Lone Fox And it's not all Iranian related either.,2.2,0.43478260869565216,0.45454545454545453
english,"You might not like Obamas views, but he has them.","You might not like the positions he holds, but atleast he has them.",2.6,0.6956521739130435,0.8
english,There is simply no winning for Obama among conservatives.,This is rich coming from a conservative.,1.4,0.125,0.1111111111111111
english,fix?: Islam itself is not political.,Islam has always been political.,1.2,0.3636363636363636,0.3333333333333333
english,I have seen UFO over Warsaw in the past.,"Respectfully submitted, Steve I have seen UFO over Warsaw in the past.",4.0,0.8571428571428571,1.0
english,Do you further agree that I have made no claim?,So that you will admit and verify that I have made no claim.,3.8,0.5217391304347826,0.6
english,Zimmerman says that he was sucker punched by his car.,"His ""friends"" say that he was confronted by his car.",2.4,0.6,0.6
english,Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,2.8,0.6428571428571429,0.6
english,"No, I show you are willfully ignorant.","LOL, you are so ignorant.",4.0,0.5,0.42857142857142855
english,We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.,3.0,0.7272727272727273,1.0
english,When Christians are extreme its just simply religion.,When Muslims are extreme it's terrorism.,1.6,0.42857142857142855,0.375
english,"Evolution is not an opinion, not a belief.","Atomic theory is not an opinion, not a belief.",1.6,0.823529411764706,0.875
english,I am not the one claiming the right to decide over another woman's body.,You want others to decide over a woman body.,2.8,0.34782608695652173,0.2857142857142857
english,Where in the world is Ron Paul?,Where in the world is the MEDIA??,0.8,0.7142857142857143,0.7142857142857143
english,"The point you quote should say ""I never said rehabilitation could never work.""","For the trillionth time, I've never said rehabilitation doesn't work.",3.4,0.34782608695652173,0.3076923076923077
english,Why did that transaction take place.,Did the transaction take place?,2.4,0.5454545454545454,0.5
english,We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.,3.6,0.6956521739130436,1.0
english,What makes you think the owl didn't participate?,It doesn't say that it didn't participate.,1.6,0.13333333333333333,0.125
english,Originally Posted by jacko!,Originally Posted by IZZY!,1.2,0.75,0.75
english,Except that it wasn't.,Except that they couldn't.,1.0,0.5,0.5
english,"If I owe you , dollars, I have a problem.","If I owe you a trillion dollars, you have a problem.",2.2,0.761904761904762,0.8
english,If evidence is not provided to support a position; then it should be rejected.,If a position is unverifiable; then it should be rejected.,4.8,0.5833333333333334,0.5714285714285714
english,Everyone else at the current prosperity level of Mexico.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.4,0.5714285714285715,0.6666666666666666
english,We both thought the movie was good and we didn't find it confusing in any way.,"I thought it was good, and I didn't find it confusing.",3.2,0.4444444444444444,0.375
english,This is not your country.,This is our country.,1.4,0.6666666666666665,0.6
english,runs victim down Got any proof?,paranoid Got any proof?,1.0,0.6,0.5
english,"you don't use the search button much, do you?","you don't use the search button AT ALL, do you?",4.2,0.8421052631578948,0.8888888888888888
english,Time of the Season by the Zombies We are all vessels filled with many wonders.,Joy to the World We are all vessels filled with many wonders.,3.2,0.6666666666666665,0.6
english,What if they messed up a study?,What if they had a personal bias?,1.0,0.5714285714285714,0.5714285714285714
english,Specifically a Baptist.,Specifically Gnostic.,1.2,0.4,0.3333333333333333
english,And a large part of the east coast.,And parts of the west coast.,0.8,0.5714285714285715,0.5
english,Why are you talking about women within the Hebrew tribes?,We were talking about women as war bounty were we not?,1.4,0.28571428571428564,0.3
english,"The ideology was built around violent expansion, so yes - VIOLENT expansion.",The ideology was built around violent expansion and race superiority.,4.0,0.5454545454545454,0.5
english,my final word: ignoring has the effect of normalizing.,taking advantage has the effect of reinforcing.,0.4,0.5,0.4444444444444444
english,The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,4.4,0.43750000000000006,0.5
english,"Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital, her personal physician said.","Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.",4.6,0.456140350877193,0.4482758620689655
english,"Darren Dopp, a Spitzer spokesman, declined to comment late Thursday.","John Heine, a spokesman for the commission in Washington, declined to comment on Mr. Spitzer's criticism.",1.4,0.3076923076923077,0.4
english,"In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.","In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.",2.0,0.5581395348837209,0.6956521739130435
english,Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,3.6,0.5217391304347826,0.6
english,One of the most well studied facets of temperament is how people respond to novelty.,One of the defining and well-studied characteristics of temperament is how people react to novelty.,4.8,0.6666666666666666,0.6666666666666666
english,"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",4.6,0.47058823529411764,0.47058823529411764
english,"Dunlap won both the swimsuit competition and the talent portion of the competition, singing ""If I Could.""","She won the talent portion singing ""If I Could"" and also won in evening wear.",2.8,0.43749999999999994,0.47058823529411764
english,"AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.","AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",5.0,0.7567567567567567,0.7777777777777778
english,"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,2.5,0.3703703703703704,0.4166666666666667
english,"Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville.","The dead man, Leon Williams, was found in his third-floor apartment.",3.4,0.3846153846153846,0.4
english,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,3.6,0.5,0.7058823529411765
english,"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",4.25,0.7755102040816326,0.7037037037037037
english,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,4.25,0.4666666666666667,0.5384615384615384
english,"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,1.2,0.41025641025641024,0.38095238095238093
english,"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",3.8,0.5581395348837209,0.7
english,"About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.",About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight.,2.6,0.606060606060606,0.6666666666666666
english,"""Fighting continued until midnight,"" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","""They ransacked and burned the two villages completely,"" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.",2.8,0.5,0.5625
english,The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.,3.0,0.45161290322580644,0.4444444444444444
english,"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.",U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.,3.2,0.7272727272727274,0.6153846153846154
english,"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday.",2.6,0.43478260869565216,0.5263157894736842
english,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",2.5,0.42857142857142855,0.42857142857142855
english,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,4.5,0.6,0.6666666666666666
english,"Sovereign's shares lost 74 cents, or 4.5%, to $15.68.","Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.",4.0,0.30769230769230765,0.4444444444444444
english,"Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.","In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.",2.2,0.17647058823529413,0.1875
english,The new law requires libraries and schools to use filters or lose federal financing.,The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.,2.8,0.4666666666666667,0.5
english,"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.",3.6,0.717948717948718,0.875
english,"And yes, Marilyn Monroe is definitely part of the story, titled ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",2.6,0.5581395348837208,0.5714285714285714
english,"Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.","A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.",3.2,0.391304347826087,0.6842105263157895
english,"After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.","After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.",5.0,0.7567567567567567,0.7
english,"A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.","A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.",4.0,0.6792452830188679,0.8076923076923077
english,"Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.","The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas.",2.2,0.36363636363636365,0.42105263157894735
english,Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,"Only 29 families of frogs are known, most of which were named by the mid-1800s.",3.8,0.5,0.42857142857142855
english,"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.","""This is an extremely heartrending time for the entire Brandeis University community.",4.4,0.32,0.38461538461538464
english,"The value will total about $124 million, including convertible securities, according to Corel.","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.",5.0,0.4827586206896552,0.8461538461538461
english,"He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.","He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl.",3.0,0.33333333333333337,0.46153846153846156
english,Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.,2.667,0.43750000000000006,0.5714285714285714
english,Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,"That task appealed to two masters of the megabyte, Peter Lyman and Hal Varian, professors at the University of California-Berkeley's School of Information Management and Systems.",2.0,0.3703703703703704,0.39285714285714285
english,"""My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.""","My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press.""",3.4,0.6521739130434783,0.7894736842105263
english,"Washington, however, said more was needed to prevent complaints being filed in the first place.","But the US insisted it wanted more done to prevent complaints being filed in the first place, preferably by repealing the entire law.",2.8,0.47368421052631576,0.6
english,"After 26 hours of surgery and a year of anticipation, the boys were separated Sunday at Children's Medical Center of Dallas.","Two-year-old Egyptian twin boys, born with their heads conjoined, have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas.",3.2,0.39999999999999997,0.5238095238095238
english,Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,3.6,0.6545454545454545,0.6428571428571429
english,"The euro soared to US$1.1914 in Asian trading, before slipping back slightly to US$1.1895 as trading opened in Europe.","The euro soared to $1.1914 in Asian trading, before slipping back to $1.1884 in late European trading, up from $1.1857 late Monday.",3.6,0.5853658536585366,0.631578947368421
english,"Abbas told the summit he would end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.","At Wednesday's summit, Abbas pledged to end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.",4.2,0.8076923076923077,0.8076923076923077
english,"Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.","LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.",2.75,0.2580645161290323,0.42857142857142855
english,"Last week, his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.",2.5,0.4736842105263158,0.45
english,"""I think it should have been released years ago,"" said Brian Rohrbough, whose son, Daniel, was killed at Columbine.","Brian Rohrbough, whose son, Daniel, was killed at Columbine, said the tape raises disturbing issues.",1.75,0.47058823529411764,0.47368421052631576
english,"Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit.",4.25,0.5652173913043478,0.5909090909090909
english,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,4.75,0.5384615384615384,0.5
english,That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.,2.75,0.3157894736842105,0.2727272727272727
english,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs.,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters.,3.25,0.6521739130434783,0.7894736842105263
english,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","""These are dark days for our industry,"" the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said.",3.5,0.5,0.5263157894736842
english,"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.",4.0,0.7777777777777778,0.7368421052631579
english,"In the weeks leading up to the execution, several Florida officials received anonymous threatening letters.","Several Florida officials connected to the case have received threatening letters, accompanied by rifle bullets.",3.5,0.3333333333333333,0.4666666666666667
english,"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,3.6,0.6122448979591837,0.5357142857142857
english,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,2.0,0.5333333333333333,0.5333333333333333
english,"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","But he is the only candidate who has won national labor endorsements so far, picking up his 11th on Tuesday.",3.6,0.7755102040816326,0.6551724137931034
english,"Oracle shares fell 27 cents, or 2 percent, to $13.09.","Oracle shares also rose on the news, up 15 cents to $13.51 on the Nasdaq.",1.6,0.24,0.3
english,"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings.",4.6,0.7555555555555555,0.7391304347826086
english,"The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.","The broader market also retreated, having climbed higher for four consecutive weeks.",3.6,0.7407407407407408,0.6666666666666666
english,The SIA says the DRAM market is expected to grow 2.9 percent to $15.7 billion in 2003 and 43 percent to $22.5 billion in 2004.,"The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.",1.2,0.5106382978723404,0.52
english,Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.,3.0,0.43478260869565216,0.45454545454545453
english,"In the year-ago quarter, the steelmaker recorded a profit of $16.2 million, or 15 cents per share, on sales of $1.14 billion.","In the second quarter last year, AK Steel reported a profit of $16.2 million, or 15 cents a share.",3.4,0.4878048780487805,0.45454545454545453
english,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.",1.8,0.27586206896551724,0.25
english,"The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",2.2,0.19999999999999998,0.1875
english,"""It's going to happen,"" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.","""That really affects the companies, big time,"" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.",1.5,0.7027027027027027,0.7647058823529411
english,"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",2.4,0.3846153846153846,0.4166666666666667
english,"He told the jury Stubbs is a ""cold, calculating killer.""","District Attorney Dave Lupas reminded jurors that Stubbs is, ""a cold, calculating killer"".",3.0,0.17391304347826086,0.2
english,"Likewise, the 30-year bond <US30YT=RR> slid 1-11/32 for a yield of 4.38 percent, up from 4.30 percent.","The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",1.8,0.37500000000000006,0.35294117647058826
english,"A seventh victim, a woman, died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.","A seventh person, a 21-year-old woman, was in critical condition in the burn unit at Akron Children's Hospital.",2.4,0.4864864864864865,0.47368421052631576
english,"The men were immediately flown to nearby Botswana on a chartered Air Malawi flight, Malawi intelligence officials said on condition of anonymity.","The men were flown to nearby Botswana on an Air Malawi flight, the officials said.",3.533,0.6486486486486486,0.5454545454545454
english,"In exchange, North Korea would be required to end its nuclear weapons program.","""In return we expect North Korea to give up nuclear weapons.""",4.75,0.33333333333333337,0.3076923076923077
english,"""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said.","""We condemn the Governing Council headed by the United States,"" Sadr said in a fiery sermon at Koufa mosque near Najaf.",3.333,0.4736842105263158,0.5294117647058824
english,"Further out the curve, the benchmark 10-year note US10YT=RR shed 25/32 in price, taking its yield to 3.26 percent from 3.17 percent.","Early Wednesday, the benchmark 10-year US10YT=RR had lost 16/32 in price, driving its yield up to 3.33 percent from 3.26 percent late Tuesday.",3.0,0.4888888888888889,0.5454545454545454
english,Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.,Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.,1.846,0.6666666666666667,0.631578947368421
english,Ernst & Young has denied any wrongdoing and plans to fight the allegations.,"Ernst & Young has denied the SEC's claims, and called its recommendations ""irresponsible"".",3.0,0.46153846153846156,0.5384615384615384
english,"Neither military action nor large-scale bribery can solve the North Korean problem, Wolfowitz said.","Indeed, Wolfowitz admitted Saturday that neither military action nor ""large scale bribery"" would solve the issue.",3.0,0.39999999999999997,0.5
english,"The driver, Eugene Rogers, helped to remove children from the bus, Wood said.","At the accident scene, the driver was ""covered in blood"" but helped to remove children, Wood said.",3.2,0.4000000000000001,0.5384615384615384
english,"""Three Weeks in October"" goes on sale Monday, nearly a year after the Washington, D.C.-area sniper shootings started.","Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area.",3.25,0.6111111111111112,0.6666666666666666
english,"Based on a separate survey of households, the unemployment rate fell in August to 6.1 percent from 6.2 percent.","Labor Department analysts discounted a slight improvement in the national unemployment rate, which fell in August to 6.1 percent from 6.2 percent.",3.75,0.5853658536585366,0.631578947368421
english,The judge also refused to postpone the trial date of Sept. 29.,Obus also denied a defense motion to postpone the Sept. 29 trial date.,3.929,0.4,0.5
english,"While opposition parties have welcomed the cabinet's decision on anti-retroviral treatment, some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan.","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan, according to some opposition parties.",3.4,0.34782608695652173,0.4230769230769231
english,"The Rev. Christopher J. Coyne, spokesman for the archdiocese, wouldn't comment Friday.","The Rev. Christopher Coyne, spokesman for the archdiocese, did not immediately return several calls seeking comment.",3.8,0.5714285714285715,0.6666666666666666
english,"Several relatives of Australian victims of the attack were in court to witness the proceedings, but few Balinese attended the trial.","Several relatives of Australian victims of the attack sat in the front row of the court, but few Balinese attended the trial.",4.6,0.7441860465116279,0.7619047619047619
english,"Previously, it had reported a profit of $12 million, or 0 cents a share, for that period.","Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period.",4.4,0.7222222222222222,0.7647058823529411
english,"Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.","It has a chequered safety record, including 47 accidents that resulted in 668 deaths.",1.333,0.25,0.2777777777777778
english,"Ryan Harvey, an outfielder from Dunedin High School in Florida, was selected with the sixth pick by the Chicago Cubs.","Ryan Harvey, a high school outfielder from Florida, was chosen sixth by the Cubs.",4.2,0.588235294117647,0.6
